system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
67,12.44875,1235.05,586.2033,1.0,83.0,42.0,0.018083183,0.25497288,5.05544348E17,155.0,317.99457,4.0,-0.6692009,833.0,559.0,7043.0,,,0.7430815,1.0,0.0,34.03211,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778562752958,41.21818211043618]}"
68,12.44875,1235.05,586.2033,1.0,83.0,42.0,0.02169982,0.2658228,5.05544348E17,115.0,307.92114,4.0,-0.7888572,845.0,559.0,7028.0,,,0.61457646,1.0,0.0,37.374466,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742773724742,41.218182973192896]}"
69,12.44875,1235.05,586.2033,1.0,98.0,42.0,0.027124774,0.2766727,5.05544348E17,115.0,305.9176,4.0,-0.80986136,875.0,559.0,7028.0,,,0.5866213,1.0,0.0,35.65823,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2770698469497,41.21818383483738]}"
70,12.44875,1235.05,586.2033,1.0,100.0,42.0,0.032549728,0.278481,5.05544348E17,104.0,313.7519,4.0,-0.72234124,888.0,559.0,7043.0,,,0.6915368,1.0,0.0,33.242245,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27671195663649,41.218184695369615]}"
71,12.44875,1235.05,586.2033,1.0,100.0,42.0,0.03797468,0.2875226,5.05544348E17,104.0,320.06924,4.0,-0.64186156,897.0,552.0,7043.0,,,0.76682055,1.0,0.0,29.68213,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635406630772,41.21818555478961]}"
72,12.44875,1235.05,586.2033,0.0,80.0,42.0,0.047016274,0.2983725,5.05544348E17,104.0,320.06924,4.0,-0.64186156,905.0,552.0,7043.0,,,0.76682055,1.0,0.0,29.68213,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599617596351,41.218186413097364]}"
73,12.44875,1235.05,604.61,1.0,100.0,42.0,0.056057867,0.30922243,5.05544348E17,117.0,317.71024,4.0,-0.6728805,921.0,551.0,7043.0,,,0.7397512,1.0,0.0,22.576159,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2756382856038,41.21818727029287]}"
74,12.44875,1235.05,604.61,1.0,100.0,42.0,0.065099455,0.318264,5.05544348E17,117.0,317.57343,4.0,-0.674645,927.0,551.0,7043.0,,,0.7381424,1.0,0.0,19.335293,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27528039522863,41.218188126376134]}"
75,12.44875,1235.05,604.61,1.0,99.0,42.0,0.07414105,0.32368898,5.05544348E17,146.0,328.4676,4.0,-0.5229806,932.0,551.0,7043.0,,,0.8523446,1.0,0.0,13.868772,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27492250483807,41.21818898134717]}"
76,12.44875,1235.05,580.5633,1.0,100.0,42.0,0.016274864,0.121157326,5.05544348E17,76.0,342.08014,4.0,-0.30768642,792.0,551.0,7028.0,,,0.95148784,1.0,0.0,32.189808,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28029201273489,41.21844627365594]}"
