system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,P1984,P1985,P1986,P1987,P1988,P1989,P1990,P1991,P1992,P1993,P1994,P1995,P1996,P1997,P1998,P1999,P2000,P2001,P2002,P2003,P2004,P2005,P2006,P2007,P2008,P2009,P2010,P2011,P2012,P2013,P2014,P2015,P2016,P2017,P2018,P2019,PatchID,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
33,12.44874954,1235.050011,595.5133057,1,88,42,97,90,98,100,39.99999619,25,26,25,11.00000191,7.999998093,8.999997139,7.999998093,8.999997139,8.999997139,11.00000191,6.999999046,8.999997139,16.00000191,23.00000191,13.99999809,33.99999619,30.00000191,44,37,23.00000191,94,52.99999619,56,39,73,97,95,81,54.00000381,30.00000191,88,1448181264,0.01627486438,0.2224231465,505544340065000000,74,5.991450884,4,0.1043800693,861,551,7043,,,0.994537481,1,0,31.73736829,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957277731113,41.21763731257869]}"
34,12.44874954,1235.050011,595.5133057,0,62,42,97,85,92,97,33.99999619,25,10.00000191,11.00000191,7.999998093,10.00000191,11.00000191,7.999998093,7.999998093,7.999998093,10.00000191,7.999998093,10.00000191,8.999997139,7.999998093,4.000001907,11.00000191,4.000001907,6.999999046,5.000000954,13.99999809,29.00000191,13,26.99999809,33,19,47.00000381,19,35.00000381,35.00000381,39,38,-1973525326,0.01627486438,0.2386980108,505544340065000000,89,14.88942998,4,0.2569545101,858,551,7043,,,0.9664234992,1,0,30.38123742,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921489005297,41.2176381808802]}"
35,12.44874954,1235.050011,602.7800293,0,39.99999619,42,90,84,91,89,38,25,13,25,11.00000191,7.999998093,7.999998093,7.999998093,7.999998093,7.999998093,7.999998093,6,11.00000191,7.999998093,8.999997139,4.000001907,11.00000191,22.00000381,20.99999809,10.00000191,22.00000381,32,19,43,31,33.99999619,73,89,52.99999619,31,38,62,-1973525326,0.01627486438,0.2567811935,505544340065000000,89,14.20985513,4,0.2454741311,835,551,7043,,,0.9694031416,1,0,35.04372027,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885700277918,41.21763904806949]}"
36,12.44874954,1235.050011,602.7800293,0,39.99999619,42,97,93,91,99,35.00000381,25,11.00000191,11.00000191,7.999998093,7.999998093,7.999998093,7.999998093,7.999998093,7.999998093,10.00000191,8.999997139,10.00000191,7.999998093,7.999998093,4.000001907,10.00000191,2.999997139,6.999999046,6,7.999998093,22.00000381,13,19,19.99999809,20.99999809,30.00000191,31,33.99999619,35.00000381,35.00000381,39.99999619,-1973525326,0.01627486438,0.2784810127,505544340065000000,89,356.2895918,4,-0.06471358535,834,551,7043,,,0.9979038791,1,0,33.62758919,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27849911548975,41.21763991414657]}"
37,12.44874954,1235.050011,602.7800293,1,81,42,99,99,98,100,45.99999619,38,25,31,25,7.999998093,8.999997139,29.00000191,8.999997139,14.99999809,7.999998093,6.999999046,8.999997139,10.00000191,8.999997139,8.999997139,10.00000191,8.999997139,8.999997139,7.999998093,11.00000191,14.99999809,23.00000191,48,44,25,39,13,50,47.00000381,37,51,-1973525326,0.01808318264,0.287522604,505544340065000000,116,331.3034291,3,-0.4801710009,840,551,7028,,,0.8771749027,1,0,32.1062536,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814122818471,41.217640779111406]}"
38,12.44874954,1235.050011,602.7800293,0,66,42,98,99,98,100,60.00000381,50,30.00000191,39,22.00000381,32,36,96,77,44,17.00000191,30.00000191,41.00000381,75,89,39.99999619,48,71,39,31,26,66,74,66,54.00000381,52.99999619,87,79,66,65,60.00000381,81,-1973525326,0.01808318264,0.2893309222,505544340065000000,116,316.303104,4,-0.6908432432,851,551,7043,,,0.7230045735,1,0,35.62033501,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778334086409,41.217641642964054]}"
39,12.44874954,1235.050011,602.7800293,0,66,42,99,99,98,100,62,60.00000381,33,39,17.00000191,55,51,96,91,45.99999619,38,24,67,82,90,61,79,78,54.00000381,52,19.99999809,90,58,64,83,54.00000381,96,93,60.00000381,58,39.99999619,66,-1973525326,0.01808318264,0.2965641953,505544340065000000,131,314.1748914,4,-0.7172160564,863,551,7043,,,0.6968508653,1,0,35.75866663,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742545352793,41.21764250570446]}"
40,12.44874954,1235.050011,602.7800293,1,98,42,100,99,99,100,43,45,23.00000191,37,30.00000191,17.00000191,27.99999619,96,92,35.00000381,11.00000191,17.00000191,33,42,70,50,48,47.00000381,49,44,38,81,88,92,73,97,98,90,92,80,81,98,-1973525326,0.01808318264,0.3019891501,505544340065000000,131,305.8338817,4,-0.8107177639,887,552,7043,,,0.5854371933,1,0,33.56895685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27706756617619,41.21764336733265]}"
41,12.44874954,1235.050011,602.7800293,1,99,42,100,99,99,100,43,45,25,33.99999619,30.00000191,25,27.99999619,94,71,36,13,13,29.00000191,48,38,43,47.00000381,49,45,37,39,77,89,94,58.99999619,91,93,95,99,90,97,99,-1973525326,0.02169981917,0.3110307414,505544340065000000,138,304.3654027,4,-0.8254544954,900,551,7043,,,0.564468667,1,0,29.8367635,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670967880893,41.21764422784862]}"
42,12.44874954,1235.050011,602.7800293,1,99,52,99,99,99,100,51,42,25,26.99999809,25,8.999997139,16.00000191,56,33.99999619,31,7.999998093,7.999998093,8.999997139,32,17.00000191,8.999997139,11.00000191,13,11.00000191,11.00000191,23.00000191,20.99999809,39.99999619,69,43,24,27.99999619,45.99999619,62,84,75,99,-1973525326,0.02712477396,0.3074141049,505544340065000000,138,313.2365328,4,-0.7285320002,909,551,7027,,,0.6850117697,1,0,25.29670693,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635179142617,41.21764508725238]}"
